source;date;titre;lien;categorie
Frandroid - RSS;2026-09-21T20:02:18+00:00;0 € de facture d’électricité pendant 10 ans : l’incroyable projet d’Octopus Energy près de Rennes;https://www.frandroid.com/survoltes/energie/3254911_0-e-de-facture-delectricite-pendant-10-ans-lincroyable-projet-doctopus-energy-pres-de-rennes;14. Extérieur
TomsHardware;2026-09-21T20:00:00+00:00;PC portable gamer en 2026 : quel budget prévoir pour bien jouer ?;https://www.tomshardware.fr/pc-portable-gamer-en-2026-quel-budget-prevoir-pour-bien-jouer/;2. PC_OS
Frandroid - RSS;2026-09-21T19:38:58+00:00;50 € à l’achat, 300 € d’économies par an : pourquoi le routeur solaire bat toutes les batteries;https://www.frandroid.com/survoltes/energie/3253557_50-e-a-lachat-300-e-deconomies-par-an-pourquoi-le-routeur-solaire-bat-toutes-les-batteries;3. Periphérique
KultureGeek;2026-09-21T18:52:13+00:00;Donald Trump annonce une force dédiée à l’IA aux États-Unis;https://kulturegeek.fr/news-359908/donald-trump-annonce-dediee-lia-etats-unis;17. actu jur et pol
KultureGeek;2026-09-21T18:40:37+00:00;Rachat de Warner Bros par Paramount : un accord judiciaire ouvre la voie à la fusion des deux géants d’Hollywood;https://kulturegeek.fr/news-359907/rachat-warner-bros-paramount-accord-judiciaire-ouvre-fusion-geants-dhollywood;18. Actualité éco
LesNumeriques;2026-09-21T18:37:00+00:00;Actualité : Hausse du carburant : 3 applications gratuites indispensables pour trouver les stations les moins chères;https://www.lesnumeriques.com/appli-logiciel/hausse-du-carburant-3-applications-gratuites-indispensables-pour-trouver-les-stations-les-moins-cheres-n252827.html;10. Voiture
Phonandroid;2026-09-21T18:35:18+00:00;Google jouait avec nos données de géolocalisation, l’entreprise condamnée à une amende de 403 millions d’euros;https://www.phonandroid.com/google-jouait-avec-nos-donnees-de-geolocalisation-lentreprise-condamnee-a-une-amende-de-403-millions-deuros.html;17. actu jur et pol
KultureGeek;2026-09-21T18:17:23+00:00;Lollipop Chainsaw : un film live-action annoncé, avec une préquelle sanglante et déjantée;https://kulturegeek.fr/news-359898/lollipop-chainsaw-film-live-action-annonce-prequelle-sanglante-dejantee;16. ludique
LesNumeriques;2026-09-21T18:16:00+00:00;Actualité : Le Smart Tag 2 de Samsung est à 16.98 € chez Amazon;https://www.lesnumeriques.com/accessoire-pour-smartphone/le-smart-tag-2-de-samsung-est-a-16-98-chez-amazon-n262130.html;1. SMARTPHONE
KultureGeek;2026-09-21T18:10:29+00:00;Google : une amende de 403 millions d’euros pour les données de géolocalisation;https://kulturegeek.fr/news-359896/google-amende-403-millions-deuros-donnees-geolocalisation;17. actu jur et pol
JournalDuGeek;2026-09-21T18:02:03+00:00;PS6 : premières infos, fenêtre de sortie, prix, annonces, tout ce que l’on sait à ce jour;https://www.journaldugeek.com/2026/09/21/ps6-premieres-infos-fenetre-de-sortie-prix-annonces-tout-ce-que-lon-sait-a-ce-jour/;16. ludique
Numerama;2026-09-21T18:00:00+00:00;À peine sorti, ce robot laveur Narwal à serpillière autonettoyante baisse déjà de prix;https://www.numerama.com/tech/2337149-a-peine-sorti-ce-robot-laveur-narwal-a-serpilliere-autonettoyante-baisse-deja-de-prix.html;11. Menage
Phonandroid;2026-09-21T17:52:03+00:00;L’iPhone Duo surchauffe quand il filme des vidéos en 4K;https://www.phonandroid.com/liphone-duo-surchauffe-quand-il-filme-des-videos-en-4k.html;1. SMARTPHONE
KultureGeek;2026-09-21T17:48:15+00:00;Analyse : le projet européen sur les réseaux sociaux repose sur un contrôle d’âge encore fragile;https://kulturegeek.fr/news-359747/analyse-projet-europeen-reseaux-sociaux-controle-age-fragile;1. SMARTPHONE
Frandroid - RSS;2026-09-21T17:32:00+00:00;Notre prise en main du Googlebook en vidéo : quand Google fusionne Android et Chrome OS;https://www.frandroid.com/video/3254781_notre-prise-en-main-du-googlebook-en-video-quand-google-fusionne-android-et-chrome-os;13. Maison
JournalDuGeek;2026-09-21T17:31:02+00:00;Disney+ rajoute de la pub sur toutes ses offres, même si vous payez déjà pour ne pas en avoir;https://www.journaldugeek.com/2026/09/21/disney-fait-une-tres-mauvaise-blague-a-ses-abonnes-en-ajoutant-de-la-pub-sur-toutes-ses-offres/;16. ludique
LesNumeriques;2026-09-21T17:30:00+00:00;Actualité : L'iPhone 18 Pro, plus puissant qu'un Mac ? Tout ce qu'il faut savoir après nos tests en labo;https://www.lesnumeriques.com/telephone-portable/l-iphone-18-pro-plus-puissant-qu-un-mac-tout-ce-qu-il-faut-savoir-apres-nos-tests-en-labo-n262128.html;1. SMARTPHONE
KultureGeek;2026-09-21T17:23:16+00:00;Amazon bloque Meta Muse : l’agent IA ne peut plus effectuer d’achats pour les utilisateurs;https://kulturegeek.fr/news-359892/amazon-bloque-meta-muse-lagent-ia-plus-effectuer-dachats-utilisateurs;6. IA
Phonandroid;2026-09-21T17:10:41+00:00;Spotify a trouvé un nouveau moyen pour vous pousser à payer un abonnement et il est très vicieux;https://www.phonandroid.com/spotify-a-trouve-un-nouveau-moyen-pour-vous-pousser-a-payer-un-abonnement-et-il-est-tres-vicieux.html;16. ludique
Phonandroid;2026-09-21T17:02:57+00:00;iPhone 20 Pro : Apple prépare un design inédit avec écran incurvé sans bordures;https://www.phonandroid.com/iphone-20-pro-apple-prepare-un-design-inedit-avec-ecran-incurve-sans-bordures.html;1. SMARTPHONE
JournalDuGeek;2026-09-21T17:02:03+00:00;GTA 6 : véhicules, map, date de sortie, précommande, tout savoir sur le prochain jeu Rockstar Games;https://www.journaldugeek.com/2026/09/21/gta-6-infos-vehicules-animaux-lieux-date-de-sortie-precommande-tout-savoir-sur-le-prochain-jeu-rockstar-games/;16. ludique
Frandroid - RSS;2026-09-21T17:00:00+00:00;Test Marshall Stanmore IV : plus qu’une enceinte Bluetooth, une vraie enceinte de salon;https://www.frandroid.com/marques/marshall/3221403_test-marshall-stanmore-iv-plus-quune-enceinte-bluetooth-une-vraie-enceinte-de-salon;8. Audio
01net;2026-09-21T16:50:18+00:00;-68% sur la précommande du robot aspirateur Eureka J15 Pro Ultra, l’offre folle à ne pas rater;https://www.01net.com/bons-plans/68-sur-la-precommande-du-robot-aspirateur-eureka-j15-pro-ultra-loffre-folle-a-ne-pas-rater.html;20. Sponso
JournalDuGeek;2026-09-21T16:48:02+00:00;Chauffage au bois : attention à ces nouvelles obligations !;https://www.journaldugeek.com/2026/09/21/chauffage-au-bois-attention-a-ces-nouvelles-obligations/;14. Extérieur
Frandroid - RSS;2026-09-21T16:35:15+00:00;3 fois moins chère que le nucléaire : cette centrale bretonne produit une électricité record depuis 60 ans;https://www.frandroid.com/survoltes/energie/3253547_3-fois-moins-chere-que-le-nucleaire-cette-centrale-bretonne-produit-une-electricite-record-depuis-60-ans;19. Sciences
01net;2026-09-21T16:35:07+00:00;« Cela me donne des frissons » : pour Apple, les protections d’écran pour iPhone ne servent à rien;https://www.01net.com/actualites/cela-me-donne-des-frissons-pour-apple-les-protections-decran-pour-iphone-ne-servent-a-rien.html;3. Periphérique
LesNumeriques;2026-09-21T16:35:02+00:00;"Actualité : Bon plan – La sonnette connectée Ring Battery Video Doorbell Plus ""5 étoiles"" à 69,99 € (-18%)";https://www.lesnumeriques.com/sonnette-connectee/bon-plan-la-sonnette-connectee-ring-battery-video-doorbell-plus-5-etoiles-a-69-99-18-n262129.html;20. Sponso
KultureGeek;2026-09-21T16:34:53+00:00;Googlebook : Google dévoile ses PC portables avec les prix;https://kulturegeek.fr/news-359885/googlebook-google-devoile-pc-portables-prix;2. PC_OS
Phonandroid;2026-09-21T16:34:24+00:00;AirPods 4 : profitez de la chute de prix sur les écouteurs Apple à réduction de bruit active;https://www.phonandroid.com/airpods-4-profitez-de-la-chute-de-prix-sur-les-ecouteurs-apple-a-reduction-de-bruit-active.html;8. Audio
JournalDuGeek;2026-09-21T16:30:05+00:00;Attendue depuis 13 ans, la suite de ce film de zombie va enfin voir le jour !;https://www.journaldugeek.com/2026/09/21/attendue-depuis-13-ans-la-suite-de-ce-film-de-zombie-va-enfin-voir-le-jour/;16. ludique
Numerama;2026-09-21T16:30:00+00:00;Compatible PS5 et livré avec son dissipateur, ce SSD Lexar de 4 To perd 50 euros;https://www.numerama.com/tech/2337093-compatible-ps5-et-livre-avec-son-dissipateur-ce-ssd-lexar-de-4-to-perd-50-euros.html;16. ludique
01net;2026-09-21T16:28:45+00:00;La Switch OLED revient d’entre les morts : à ce prix, elle va se vendre par camions 🚛;https://www.01net.com/bons-plans/la-switch-oled-revient-dentre-les-morts-a-ce-prix-elle-va-se-vendre-par-camions-%f0%9f%9a%9b.html;20. Sponso
Frandroid - RSS;2026-09-21T16:26:00+00:00;Ryzen 9, 32 Go de RAM, RTX 5070 Ti : ce laptop gamer OLED répond aux besoins des joueurs exigeants et perd 400 €;https://www.frandroid.com/bons-plans/3254681_ryzen-9-32-go-de-ram-rtx-5070-ti-ce-laptop-gamer-oled-repond-aux-besoins-des-joueurs-exigeants-et-perd-400-e;20. Sponso
CCM;2026-09-21T16:24:39+00:00;Gmail simplifie la double authentification avec un bouton pour copier les codes;https://www.commentcamarche.net/applis-sites/mail/38891-gmail-simplifie-double-authentification-avec-bouton-pour-copier-codes/;5. Logiciels _ OS
Frandroid - RSS;2026-09-21T16:24:28+00:00;Leapmotor veut supprimer la batterie 12 volts de ses voitures électriques, une première en 70 ans;https://www.frandroid.com/marques/leapmotor/3254625_leapmotor-veut-supprimer-la-batterie-12-volts-de-ses-voitures-electriques-une-premiere-en-70-ans;10. Voiture
Numerama;2026-09-21T16:20:22+00:00;Équinoxe d’automne 2026 : pourquoi l’automne commence le 23 septembre, pas le 21;https://www.numerama.com/sciences/549792-equinoxe-dautomne-2026-pourquoi-lautomne-commence-le-23-septembre-pas-le-21.html;NON_CLASSE
LesNumeriques;2026-09-21T16:15:36+00:00;Actualité : Cet aspirateur balai présente le meilleur rapport qualité / prix de notre comparatif;https://www.lesnumeriques.com/aspirateur-balai/cet-aspirateur-balai-presente-le-meilleur-rapport-qualite-prix-de-notre-comparatif-n262125.html;11. Menage
